data_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box15/mic/20241028_114000.WAV,051,112727,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box15/mic/20241028_114500.WAV,051,112727,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box15/mic/20241028_115000.WAV,051,112727,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box08/mic/20241028_112109.WAV,054,112510,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box08/mic/20241028_112500.WAV,054,112510,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box08/mic/20241028_113000.WAV,054,112510,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box08/mic/20241028_113500.WAV,054,112510,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box08/mic/20241028_114000.WAV,054,112510,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box08/mic/20241028_114500.WAV,054,112510,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box08/mic/20241028_115000.WAV,054,112510,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box16/mic/20241028_112109.WAV,058,112747,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box16/mic/20241028_112500.WAV,058,112747,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box16/mic/20241028_113000.WAV,058,112747,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box16/mic/20241028_113500.WAV,058,112747,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box16/mic/20241028_114000.WAV,058,112747,M,EtOH,Wistar
